id;settings;time;tree
53;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_1_partition_3', 'test-file': 'test/generated_dataset_00100_1_10_1_partition_3', 'core-file': 'generated_dataset_00100_1_10_1'};3.026;[1.0]
54;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_1_partition_4', 'test-file': 'test/generated_dataset_00100_1_10_1_partition_4', 'core-file': 'generated_dataset_00100_1_10_1'};3.058;[lambda x: x['F4'] == 'Z',[1.382399],[0.709139]]
55;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_2_partition_0', 'test-file': 'test/generated_dataset_00100_1_10_2_partition_0', 'core-file': 'generated_dataset_00100_1_10_2'};3.181;[1.0]
56;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_2_partition_1', 'test-file': 'test/generated_dataset_00100_1_10_2_partition_1', 'core-file': 'generated_dataset_00100_1_10_2'};3.151;[lambda x: x['F0'] > 0.7747529285495391,[0.844086],[1.924015]]
57;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_2_partition_2', 'test-file': 'test/generated_dataset_00100_1_10_2_partition_2', 'core-file': 'generated_dataset_00100_1_10_2'};3.203;[1.0]
58;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_2_partition_3', 'test-file': 'test/generated_dataset_00100_1_10_2_partition_3', 'core-file': 'generated_dataset_00100_1_10_2'};3.035;[1.0]
59;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_2_partition_4', 'test-file': 'test/generated_dataset_00100_1_10_2_partition_4', 'core-file': 'generated_dataset_00100_1_10_2'};3.302;[lambda x: x['F1'] > 0.22292286420191204,[0.588311],[1.203243]]
60;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_3_partition_0', 'test-file': 'test/generated_dataset_00100_1_10_3_partition_0', 'core-file': 'generated_dataset_00100_1_10_3'};2.986;[1.0]
61;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_3_partition_1', 'test-file': 'test/generated_dataset_00100_1_10_3_partition_1', 'core-file': 'generated_dataset_00100_1_10_3'};2.781;[1.0]
62;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_3_partition_2', 'test-file': 'test/generated_dataset_00100_1_10_3_partition_2', 'core-file': 'generated_dataset_00100_1_10_3'};2.776;[1.0]
63;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_3_partition_3', 'test-file': 'test/generated_dataset_00100_1_10_3_partition_3', 'core-file': 'generated_dataset_00100_1_10_3'};3.231;[lambda x: x['F0'] > 0.813245053010776,[0.886199],[1.953038]]
