id;settings;time;results 
41;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Framingham_partition_1", "test-file": "test/Framingham_partition_1"};2.2062752366066;[lambda x: x['num_age'] > 45,[lambda x: x['num_scl'] > 227,[lambda x: x['fac_sex'] == 'F',[None],[None]],[lambda x: x['num_dbp'] > 95,[None],[None]]],[lambda x: x['fac_sex'] == 'F',[None],[lambda x: x['num_sbp'] > 145,[None],[None]]]] 
42;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Framingham_partition_2", "test-file": "test/Framingham_partition_2"};2.13887935082118;[lambda x: x['num_age'] > 44,[lambda x: x['num_scl'] > 229,[lambda x: x['fac_sex'] == 'F',[None],[None]],[lambda x: x['num_dbp'] > 84,[None],[None]]],[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_bmi'] > 24.3,[None],[None]],[lambda x: x['num_sbp'] > 145,[None],[None]]]] 
43;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Framingham_partition_3", "test-file": "test/Framingham_partition_3"};2.13004146814346;[lambda x: x['num_age'] > 44,[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_scl'] > 227,[None],[None]],[lambda x: x['num_dbp'] > 85,[None],[None]]],[lambda x: x['num_sbp'] > 144,[lambda x: x['fac_sex'] == 'F',[None],[None]],[lambda x: x['num_sbp'] > 188,[None],[None]]]]
44;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Framingham_partition_4", "test-file": "test/Framingham_partition_4"};2.75251476764679;[lambda x: x['num_sbp'] > 125,[lambda x: x['num_age'] > 47,[lambda x: x['fac_sex'] == 'F',[None],[None]],[lambda x: x['fac_sex'] == 'F',[None],[None]]],[lambda x: x['num_sbp'] > 166,[lambda x: x['fac_sex'] == 'F',[None],[None]],[None]]]
45;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/hdfail_partition_0', 'test-file': 'test/hdfail_partition_0'};3600;[None]
46;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/hdfail_partition_1', 'test-file': 'test/hdfail_partition_1'};3600;[None]
47;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/hdfail_partition_2', 'test-file': 'test/hdfail_partition_2'};3600;[None]
48;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/hdfail_partition_3', 'test-file': 'test/hdfail_partition_3'};3600;[None]
49;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/hdfail_partition_4', 'test-file': 'test/hdfail_partition_4'};3600;[None]
50;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/nwtco_partition_0", "test-file": "test/nwtco_partition_0"};3.5116428176562;[lambda x: x['fac_histol'] == 'Favourable',[lambda x: x['num_stage'] > 2,[lambda x: x['num_stage'] > 1,[None],[None]],[lambda x: x['num_stage'] > 3,[None],[None]]],[lambda x: x['num_age'] > 84,[lambda x: x['num_stage'] > 1,[None],[None]],[None]]] 
51;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/nwtco_partition_1", "test-file": "test/nwtco_partition_1"};3.86847885052363;[lambda x: x['fac_histol'] == 'Favourable',[lambda x: x['num_stage'] > 1,[lambda x: x['num_age'] > 11,[None],[None]],[lambda x: x['num_stage'] > 3,[None],[None]]],[lambda x: x['num_age'] > 38,[None],[lambda x: x['num_age'] > 84,[None],[None]]]] 
52;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/nwtco_partition_2", "test-file": "test/nwtco_partition_2"};3.6613485177358;[lambda x: x['fac_histol'] == 'Favourable',[lambda x: x['num_stage'] > 2,[lambda x: x['num_stage'] > 1,[None],[None]],[None]],[lambda x: x['num_age'] > 84,[lambda x: x['num_stage'] > 1,[None],[None]],[None]]] 
53;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/nwtco_partition_3", "test-file": "test/nwtco_partition_3"};3.66130936543147;[lambda x: x['fac_histol'] == 'Favourable',[lambda x: x['num_stage'] > 2,[lambda x: x['num_stage'] > 1,[None],[None]],[None]],[lambda x: x['num_age'] > 84,[lambda x: x['num_stage'] > 1,[None],[None]],[None]]] 
54;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/nwtco_partition_4", "test-file": "test/nwtco_partition_4"};3.6298032005628;[lambda x: x['fac_histol'] == 'Favourable',[lambda x: x['num_stage'] > 1,[lambda x: x['num_age'] > 11,[None],[None]],[lambda x: x['num_stage'] > 3,[None],[None]]],[lambda x: x['num_age'] > 34,[None],[lambda x: x['num_age'] > 84,[None],[None]]]] 
55;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/oldmort_partition_0", "test-file": "test/oldmort_partition_0"};6.82289860248566;[lambda x: x['num_birthdate'] > 1781.70941,[lambda x: x['num_birthdate'] > 1774.83453,[None],[None]],[lambda x: x['num_birthdate'] > 1789.46864,[lambda x: x['num_birthdate'] > 1786.57194,[None],[None]],[lambda x: x['fac_region'] == 'rural',[None],[None]]]] 
56;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/oldmort_partition_1", "test-file": "test/oldmort_partition_1"};8.14337378342946;[lambda x: x['num_birthdate'] > 1781.16457,[lambda x: x['num_birthdate'] > 1775.09189,[None],[None]],[lambda x: x['num_birthdate'] > 1788.37074,[None],[lambda x: x['num_birthdate'] > 1814.39728,[None],[None]]]] 
57;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/oldmort_partition_2", "test-file": "test/oldmort_partition_2"};7.69027356704076;[lambda x: x['num_birthdate'] > 1781.70941,[lambda x: x['num_birthdate'] > 1775.09189,[lambda x: x['num_birthdate'] > 1772.34851,[None],[None]],[lambda x: x['fac_sex'] == 'female',[None],[None]]],[lambda x: x['fac_region'] == 'rural',[None],[lambda x: x['num_birthdate'] > 1787.77114,[None],[None]]]] 
58;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/oldmort_partition_3", "test-file": "test/oldmort_partition_3"};8.46231658061345;[lambda x: x['num_birthdate'] > 1781.70941,[lambda x: x['num_birthdate'] > 1775.09189,[lambda x: x['num_birthdate'] > 1771.33274,[None],[None]],[None]],[lambda x: x['fac_ses_50'] == 'farmer',[None],[None]]] 
59;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/oldmort_partition_4", "test-file": "test/oldmort_partition_4"};6.72166589895884;[lambda x: x['num_birthdate'] > 1781.70941,[lambda x: x['num_birthdate'] > 1775.09189,[lambda x: x['num_birthdate'] > 1771.57094,[None],[None]],[lambda x: x['fac_sex'] == 'female',[None],[None]]],[lambda x: x['fac_region'] == 'rural',[lambda x: x['fac_ses_50'] == 'unknown',[None],[None]],[lambda x: x['fac_birthplace'] == 'remote',[None],[None]]]] 
60;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/prostateSurvival_partition_0", "test-file": "test/prostateSurvival_partition_0"};3.98994117975235;[lambda x: x['fac_grade'] == 'mode',[lambda x: x['fac_stage'] == 'T1ab',[lambda x: x['fac_stage'] == 'T2',[None],[None]],[None]],[lambda x: x['fac_ageGroup'] == '80+',[lambda x: x['fac_stage'] == 'T1ab',[None],[None]],[lambda x: x['fac_stage'] == 'T2',[None],[None]]]] 
61;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/prostateSurvival_partition_1", "test-file": "test/prostateSurvival_partition_1"};3.94884898265203;[lambda x: x['fac_grade'] == 'mode',[lambda x: x['fac_stage'] == 'T1c',[lambda x: x['fac_ageGroup'] == '66-69',[None],[None]],[None]],[lambda x: x['fac_ageGroup'] == '80+',[lambda x: x['fac_ageGroup'] == '75-79',[None],[None]],[lambda x: x['fac_stage'] == 'T2',[None],[None]]]] 
62;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/prostateSurvival_partition_2", "test-file": "test/prostateSurvival_partition_2"};4.01181053320567;[lambda x: x['fac_grade'] == 'mode',[lambda x: x['fac_stage'] == 'T1ab',[lambda x: x['fac_ageGroup'] == '80+',[None],[None]],[None]],[lambda x: x['fac_ageGroup'] == '80+',[lambda x: x['fac_ageGroup'] == '75-79',[None],[None]],[lambda x: x['fac_stage'] == 'T2',[None],[None]]]] 
63;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/prostateSurvival_partition_3", "test-file": "test/prostateSurvival_partition_3"};3.89065948327382;[lambda x: x['fac_grade'] == 'mode',[lambda x: x['fac_stage'] == 'T1c',[lambda x: x['fac_ageGroup'] == '70-74',[None],[None]],[None]],[lambda x: x['fac_ageGroup'] == '80+',[lambda x: x['fac_ageGroup'] == '75-79',[None],[None]],[lambda x: x['fac_stage'] == 'T2',[None],[None]]]] 
64;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/prostateSurvival_partition_4", "test-file": "test/prostateSurvival_partition_4"};3.94878783226013;[lambda x: x['fac_grade'] == 'mode',[lambda x: x['fac_stage'] == 'T1ab',[lambda x: x['fac_ageGroup'] == '80+',[None],[None]],[None]],[lambda x: x['fac_ageGroup'] == '80+',[lambda x: x['fac_ageGroup'] == '75-79',[None],[None]],[lambda x: x['fac_stage'] == 'T2',[None],[None]]]] 
65;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/rott2_partition_0", "test-file": "test/rott2_partition_0"};1.59522105058034;[lambda x: x['num_nodes'] > 2,[lambda x: x['fac_tsize'] == '<=20mm',[lambda x: x['num_nodes'] > 1,[None],[None]],[lambda x: x['fac_grade'] > 2,[None],[None]]],[lambda x: x['num_nodes'] > 5,[lambda x: x['fac_chemo'] == 'no',[None],[None]],[lambda x: x['num_year'] > 1986,[None],[None]]]] 
66;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/rott2_partition_1", "test-file": "test/rott2_partition_1"};1.43565818071365;[lambda x: x['num_nodes'] > 2,[lambda x: x['fac_tsize'] == '<=20mm',[lambda x: x['fac_meno'] == 'post',[None],[None]],[lambda x: x['num_progesterone'] > 19,[None],[None]]],[lambda x: x['fac_tsize'] == '<=20mm',[lambda x: x['fac_tsize'] == '>50mm',[None],[None]],[lambda x: x['num_nodes'] > 5,[None],[None]]]] 
67;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/rott2_partition_2", "test-file": "test/rott2_partition_2"};1.41988751490911;[lambda x: x['num_nodes'] > 2,[lambda x: x['fac_tsize'] == '<=20mm',[lambda x: x['num_nodes'] > 0,[None],[None]],[lambda x: x['fac_grade'] > 2,[None],[None]]],[lambda x: x['num_nodes'] > 6,[lambda x: x['fac_grade'] > 2,[None],[None]],[None]]] 
68;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/rott2_partition_3", "test-file": "test/rott2_partition_3"};1.55961678425471;[lambda x: x['num_nodes'] > 2,[lambda x: x['fac_tsize'] == '<=20mm',[lambda x: x['num_nodes'] > 0,[None],[None]],[lambda x: x['num_progesterone'] > 26,[None],[None]]],[lambda x: x['fac_tsize'] == '<=20mm',[None],[lambda x: x['num_age'] > 42,[None],[None]]]] 
