id;settings;time;tree
44;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Framingham_partition_4', 'test-file': 'test/Framingham_partition_4', 'core-file': 'Framingham'};1.959;[lambda x: x['num_age'] > 47.0,[lambda x: x['num_dbp'] > 84.0,[lambda x: x['fac_sex'] == 'F',[0.878174],[0.356366]],[lambda x: x['num_scl'] > 219.0,[0.673451],[1.684351]]],[lambda x: x['num_sbp'] > 176.0,[lambda x: x['fac_sex'] == 'F',[1.99715],[1.14381]],[3.649771]]]
45;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/hdfail_partition_0', 'test-file': 'test/hdfail_partition_0', 'core-file': 'hdfail'};6.86;[lambda x: x['fac_type'] == 'ST3000DM001',[lambda x: x["fac_psc"],[lambda x: x['fac_brand'] == 'Hitachi',[0.71155],[0.087229]],[lambda x: x['fac_type'] == 'ST4000DM000',[5.493599],[55.329115]]],[lambda x: x["fac_psc"],[lambda x: x["fac_rsc"],[2.09024],[6.3146]],[11.975811]]]
46;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/hdfail_partition_1', 'test-file': 'test/hdfail_partition_1', 'core-file': 'hdfail'};7.248;[lambda x: x["fac_psc"],[lambda x: x['fac_brand'] == 'Hitachi',[lambda x: x['fac_type'] == 'ST3000DM001',[0.709535],[2.739782]],[lambda x: x["fac_rsc"],[0.039556],[0.600656]]],[lambda x: x['fac_type'] == 'ST4000DM000',[lambda x: x['fac_type'] == 'ST3000DM001',[5.507651],[11.703753]],[57.707289]]]
47;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/hdfail_partition_2', 'test-file': 'test/hdfail_partition_2', 'core-file': 'hdfail'};7.832;[lambda x: x["fac_psc"],[lambda x: x['fac_brand'] == 'Hitachi',[lambda x: x['fac_type'] == 'ST3000DM001',[0.70927],[2.700786]],[lambda x: x["fac_rsc"],[0.048038],[0.703646]]],[lambda x: x['fac_type'] == 'ST4000DM000',[lambda x: x['fac_type'] == 'ST3000DM001',[5.396893],[12.1128]],[54.534796]]]
48;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/hdfail_partition_3', 'test-file': 'test/hdfail_partition_3', 'core-file': 'hdfail'};7.438;[lambda x: x["fac_psc"],[lambda x: x["fac_rsc"],[lambda x: x['fac_brand'] == 'Hitachi',[0.800558],[0.040314]],[lambda x: x['fac_type'] == 'ST3000DM001',[1.324491],[6.399256]]],[lambda x: x['fac_type'] == 'ST4000DM000',[lambda x: x['fac_type'] == 'ST3000DM001',[5.333118],[11.71423]],[55.323845]]]
49;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/hdfail_partition_4', 'test-file': 'test/hdfail_partition_4', 'core-file': 'hdfail'};6.71;[lambda x: x['fac_type'] == 'ST3000DM001',[lambda x: x["fac_psc"],[lambda x: x['fac_brand'] == 'Hitachi',[0.725182],[0.08332]],[lambda x: x['fac_type'] == 'ST4000DM000',[5.22157],[55.055119]]],[lambda x: x["fac_psc"],[lambda x: x["fac_rsc"],[2.014543],[6.36019]],[11.955277]]]
50;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/nwtco_partition_0', 'test-file': 'test/nwtco_partition_0', 'core-file': 'nwtco'};0.343;[lambda x: x['fac_histol'] == 'Favourable',[lambda x: x['num_stage'] > 1.0,[lambda x: x['num_age'] > 19.0,[4.801785],[0.556646]],[lambda x: x['num_age'] > 6.0,[43.379787],[4.279861]]],[lambda x: x['num_age'] > 71.0,[lambda x: x['num_age'] > 33.5,[0.392754],[0.828745]],[lambda x: x['num_stage'] > 1.0,[0.879419],[1.658964]]]]
51;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/nwtco_partition_1', 'test-file': 'test/nwtco_partition_1', 'core-file': 'nwtco'};0.342;[lambda x: x['num_stage'] > 1.0,[0.46481],[lambda x: x['fac_histol'] == 'Favourable',[lambda x: x['num_age'] > 6.0,[50.429981],[4.15271]],[0.978862]]]
52;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/nwtco_partition_2', 'test-file': 'test/nwtco_partition_2', 'core-file': 'nwtco'};0.346;[lambda x: x['num_stage'] > 1.0,[lambda x: x['num_age'] > 19.0,[lambda x: x['fac_histol'] == 'Favourable',[5.386149],[0.265624]],[0.537002]],[lambda x: x['fac_histol'] == 'Favourable',[lambda x: x['num_age'] > 6.0,[40.949795],[4.451264]],[lambda x: x['num_age'] > 40.0,[0.593413],[1.198658]]]]
53;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/nwtco_partition_3', 'test-file': 'test/nwtco_partition_3', 'core-file': 'nwtco'};0.349;[lambda x: x['fac_histol'] == 'Favourable',[lambda x: x['num_age'] > 12.0,[lambda x: x['num_stage'] > 2.0,[6.352927],[27.814952]],[lambda x: x['num_stage'] > 1.0,[0.873768],[3.875908]]],[lambda x: x['num_age'] > 48.0,[lambda x: x['num_age'] > 33.5,[0.428105],[0.816839]],[lambda x: x['num_stage'] > 1.0,[0.528578],[1.307524]]]]
54;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/nwtco_partition_4', 'test-file': 'test/nwtco_partition_4', 'core-file': 'nwtco'};0.343;[lambda x: x['fac_histol'] == 'Favourable',[lambda x: x['num_age'] > 12.0,[12.006848],[lambda x: x['num_stage'] > 1.0,[0.635665],[4.067196]]],[lambda x: x['num_age'] > 33.5,[0.42175],[1.005892]]]
55;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/oldmort_partition_0', 'test-file': 'test/oldmort_partition_0', 'core-file': 'oldmort'};1.04;[lambda x: x['num_birthdate'] > 1793.1346981799763,[lambda x: x['fac_region'] == 'town',[lambda x: x['num_birthdate'] > 1786.4788462459871,[3.522128],[2.237094]],[0.95116]],[lambda x: x['num_imr_birth'] > 17.7184466,[lambda x: x['num_birthdate'] > 1803.4867245734,[1.00487],[0.611483]],[lambda x: x['fac_birthplace'] == 'parish',[0.973693],[0.477668]]]]
56;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/oldmort_partition_1', 'test-file': 'test/oldmort_partition_1', 'core-file': 'oldmort'};0.994;[lambda x: x['fac_region'] == 'town',[lambda x: x['num_birthdate'] > 1793.1346981799763,[lambda x: x['num_birthdate'] > 1786.4788462459871,[3.633811],[1.92608]],[lambda x: x['num_birthdate'] > 1800.4887164007473,[1.150148],[0.64784]]],[0.749867]]
