id;settings;time;tree
34;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/divorce_partition_4", "test-file": "test/divorce_partition_4"};1.505;[lambda x: x['fac_mixed'] in ['Yes'],[lambda x: x['fac_heblack'] in ['Yes'],[lambda x: x['fac_heduc'] in ['12-15'],[None],[None]],[lambda x: x['fac_heduc'] in ['12-15','16+'],[None],[None]]],[lambda x: x['fac_heduc'] in ['12-15','<12'],[lambda x: x['fac_heblack'] in ['Yes'],[None],[None]],[lambda x: x['fac_heduc'] in ['12-15'],[None],[None]]]]
35;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/flchain_partition_0", "test-file": "test/flchain_partition_0"};11.081;[lambda x: x['fac_chapter'] in ['Digestive','Circulatory','Genitourinary','Neoplasms','Musculoskeletal','External Causes','Mental','Skin','Blood','Respiratory','Endocrine'],[lambda x: x['fac_chapter'] in ['Ill Defined','Nervous','Injury and Poisoning','Infectious'],[lambda x: x['num_kappa'] < 9.675,[None],[None]],[lambda x: x['fac_chapter'] in ['Congenital','Ill Defined','Nervous','External Causes','Infectious','Mental'],[None],[None]]],[lambda x: x['num_age'] < 82.5,[lambda x: x['num_age'] < 93.5,[None],[None]],[lambda x: x['num_lambda'] < 4.0649999999999995,[None],[None]]]]
36;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/flchain_partition_1", "test-file": "test/flchain_partition_1"};8.679;[lambda x: x['fac_chapter'] in ['missing','Injury and Poisoning','Skin'],[lambda x: x['num_age'] < 82.5,[lambda x: x['num_age'] < 90.5,[None],[None]],[lambda x: x['num_kappa'] < 3.3950000000000005,[None],[None]]],[lambda x: x['fac_chapter'] in ['Injury and Poisoning','Mental'],[lambda x: x['num_kappa'] < 2.375,[None],[None]],[lambda x: x['num_age'] < 95.0,[None],[None]]]]
37;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/flchain_partition_2", "test-file": "test/flchain_partition_2"};8.64;[lambda x: x['fac_chapter'] in ['Digestive','Circulatory','Genitourinary','Ill Defined','Neoplasms','Nervous','Musculoskeletal','External Causes','Infectious','Mental','Skin','Blood','Respiratory','Endocrine'],[lambda x: x['fac_chapter'] in ['Injury and Poisoning'],[lambda x: x['num_lambda'] < 8.514999999999999,[None],[None]],[lambda x: x['num_age'] < 91.5,[None],[None]]],[lambda x: x['num_lambda'] < 4.0600000000000005,[lambda x: x['num_kappa'] < 2.555,[None],[None]],[lambda x: x['num_age'] < 84.5,[None],[None]]]]
38;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/flchain_partition_3", "test-file": "test/flchain_partition_3"};9.009;[lambda x: x['fac_chapter'] in ['Congenital','Digestive','Circulatory','Genitourinary','Neoplasms','External Causes','Mental','Skin','Respiratory','Endocrine'],[lambda x: x['fac_chapter'] in ['Congenital','Digestive','Circulatory','Genitourinary','Neoplasms','missing','External Causes','Mental','Skin','Blood','Respiratory','Endocrine'],[lambda x: x['fac_chapter'] in ['Congenital','Digestive','Circulatory','Neoplasms','missing','External Causes','Injury and Poisoning','Mental','Skin','Blood','Respiratory','Endocrine'],[None],[None]],[lambda x: x['num_age'] < 79.5,[None],[None]]],[lambda x: x['num_age'] < 89.5,[lambda x: x['num_lambda'] < 2.9000000000000004,[None],[None]],[lambda x: x['num_lambda'] < 2.3150000000000004,[None],[None]]]]
39;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/flchain_partition_4", "test-file": "test/flchain_partition_4"};11.044;[lambda x: x['fac_chapter'] in ['missing','Injury and Poisoning','Skin'],[lambda x: x['num_kappa'] < 2.465,[lambda x: x['num_age'] < 91.5,[None],[None]],[lambda x: x['num_age'] < 87.5,[None],[None]]],[lambda x: x['fac_chapter'] in ['Congenital','Digestive','Circulatory','Genitourinary','Ill Defined','Neoplasms','Nervous','Musculoskeletal','External Causes','Injury and Poisoning','Infectious','Mental','Blood','Respiratory','Endocrine'],[lambda x: x['num_age'] < 74.5,[None],[None]],[lambda x: x['num_creatinine'] < 0.8500000000000001,[None],[None]]]]
40;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Framingham_partition_0", "test-file": "test/Framingham_partition_0"};5.418;[lambda x: x['num_age'] < 47.5,[lambda x: x['num_sbp'] < 167.0,[lambda x: x['num_sbp'] < 201.0,[None],[None]],[lambda x: x['fac_sex'] in ['M'],[None],[None]]],[lambda x: x['num_dbp'] < 84.5,[lambda x: x['num_scl'] < 223.5,[None],[None]],[lambda x: x['fac_sex'] in ['M'],[None],[None]]]]
41;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Framingham_partition_1", "test-file": "test/Framingham_partition_1"};5.676;[lambda x: x['num_age'] < 47.5,[lambda x: x['fac_sex'] in ['F'],[lambda x: x['num_sbp'] < 182.0,[None],[None]],[lambda x: x['num_sbp'] < 167.0,[None],[None]]],[lambda x: x['num_dbp'] < 84.5,[lambda x: x['num_scl'] < 217.5,[None],[None]],[lambda x: x['fac_sex'] in ['M'],[None],[None]]]]
42;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Framingham_partition_2", "test-file": "test/Framingham_partition_2"};6.121;[lambda x: x['fac_sex'] in ['M'],[lambda x: x['num_age'] < 49.5,[lambda x: x['num_dbp'] < 99.0,[None],[None]],[lambda x: x['num_scl'] < 223.5,[None],[None]]],[lambda x: x['num_age'] < 47.5,[lambda x: x['num_sbp'] < 182.0,[None],[None]],[lambda x: x['num_scl'] < 232.5,[None],[None]]]]
43;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Framingham_partition_3", "test-file": "test/Framingham_partition_3"};5.738;[lambda x: x['num_age'] < 45.5,[lambda x: x['num_sbp'] < 145.5,[lambda x: x['num_sbp'] < 189.0,[None],[None]],[lambda x: x['fac_sex'] in ['M'],[None],[None]]],[lambda x: x['num_dbp'] < 84.5,[lambda x: x['num_scl'] < 218.0,[None],[None]],[lambda x: x['fac_sex'] in ['M'],[None],[None]]]]
