id;settings;time;tree
35;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/flchain_partition_0', 'test-file': 'test/flchain_partition_0'};0.17;[lambda x: x['num_age'] > 84.0,[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_kappa'] > 2.82,[5.202274],[9.151309]],[lambda x: x['num_kappa'] > 1.34,[0.000602],[0.001083]]],[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_flc_grp'] > 9.0,[7.043386],[11.148372]],[lambda x: x['num_kappa'] > 1.21,[2.203953],[0.20537]]]]
36;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/flchain_partition_1', 'test-file': 'test/flchain_partition_1'};0.152;[lambda x: x['num_age'] > 84.0,[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_kappa'] > 2.82,[5.192078],[8.626644]],[lambda x: x['num_age'] > 59.0,[0.00081],[0.000741]]],[lambda x: x['num_creatinine'] > 1.5,[lambda x: x['fac_chapter'] == 'missing',[8.151758],[0.173441]],[lambda x: x['num_sample_yr'] > 1998.0,[12.216351],[2610.0]]]]
37;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/flchain_partition_2', 'test-file': 'test/flchain_partition_2'};0.151;[lambda x: x['num_age'] > 84.0,[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_kappa'] > 2.82,[5.188146],[8.441499]],[lambda x: x['num_age'] > 69.0,[0.000476],[0.00207]]],[lambda x: x['num_lambda'] > 3.18,[lambda x: x['fac_chapter'] == 'missing',[7.775537],[0.157457]],[lambda x: x['fac_chapter'] in ['Genitourinary','Ill Defined','Infectious','Injury and Poisoning','Musculoskeletal','Blood','Skin','Congenital'],[13.739236],[57.162673]]]]
38;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/flchain_partition_3', 'test-file': 'test/flchain_partition_3'};0.222;[lambda x: x['num_age'] > 84.0,[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_lambda'] > 2.29,[5.014629],[6.934945]],[lambda x: x['num_age'] > 69.0,[0.000475],[0.002079]]],[lambda x: x['num_lambda'] > 3.18,[lambda x: x['fac_chapter'] == 'missing',[7.875679],[0.171453]],[lambda x: x['num_creatinine'] > 1.1,[23.991671],[11.711126]]]]
39;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/flchain_partition_4', 'test-file': 'test/flchain_partition_4'};0.33;[lambda x: x['num_age'] > 84.0,[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_kappa'] > 2.82,[5.189977],[8.547363]],[lambda x: x['num_kappa'] > 1.34,[0.000595],[0.001107]]],[lambda x: x['num_lambda'] > 3.18,[lambda x: x['fac_chapter'] == 'missing',[7.892182],[0.142309]],[lambda x: x['num_creatinine'] > 1.1,[26.419],[13.681554]]]]
40;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Framingham_partition_0', 'test-file': 'test/Framingham_partition_0'};0.125;[lambda x: x['num_age'] > 47.0,[lambda x: x['num_dbp'] > 84.0,[lambda x: x['fac_sex'] == 'F',[0.859977],[0.37845]],[lambda x: x['num_scl'] > 219.0,[0.726995],[1.726109]]],[lambda x: x['num_dbp'] > 95.0,[lambda x: x['fac_sex'] == 'F',[1.931313],[1.035727]],[lambda x: x['num_sbp'] > 176.0,[1.962492],[3.893973]]]]
41;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Framingham_partition_1', 'test-file': 'test/Framingham_partition_1'};0.127;[lambda x: x['num_age'] > 47.0,[lambda x: x['num_dbp'] > 84.0,[lambda x: x['fac_sex'] == 'F',[0.866788],[0.34899]],[lambda x: x['num_scl'] > 219.0,[0.709068],[1.671154]]],[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_sbp'] > 176.0,[2.079788],[5.594972]],[lambda x: x['num_sbp'] > 144.0,[0.839249],[1.77177]]]]
42;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Framingham_partition_2', 'test-file': 'test/Framingham_partition_2'};0.132;[lambda x: x['num_age'] > 47.0,[lambda x: x['num_dbp'] > 84.0,[lambda x: x['fac_sex'] == 'F',[0.845693],[0.368284]],[lambda x: x['num_scl'] > 219.0,[0.635651],[1.670056]]],[lambda x: x['num_dbp'] > 95.0,[lambda x: x['fac_sex'] == 'F',[2.004217],[1.018186]],[lambda x: x['num_sbp'] > 176.0,[2.140079],[3.943218]]]]
43;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Framingham_partition_3', 'test-file': 'test/Framingham_partition_3'};0.169;[lambda x: x['num_age'] > 47.0,[lambda x: x['num_dbp'] > 84.0,[lambda x: x['fac_sex'] == 'F',[0.878645],[0.359497]],[lambda x: x['num_scl'] > 219.0,[0.575033],[1.680636]]],[lambda x: x['num_sbp'] > 144.0,[lambda x: x['fac_sex'] == 'F',[1.893424],[0.832313]],[lambda x: x['num_sbp'] > 176.0,[1.919109],[3.505181]]]]
44;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Framingham_partition_4', 'test-file': 'test/Framingham_partition_4'};0.142;[lambda x: x['num_age'] > 47.0,[lambda x: x['num_dbp'] > 84.0,[lambda x: x['fac_sex'] == 'F',[0.900013],[0.371441]],[lambda x: x['num_scl'] > 219.0,[0.681862],[1.718294]]],[lambda x: x['num_sbp'] > 144.0,[lambda x: x['fac_sex'] == 'F',[1.790851],[0.856019]],[lambda x: x['num_sbp'] > 176.0,[1.779871],[3.713815]]]]
